transaction_id,processor,country,payment_method,amount,currency,status,created_at,captured_at
CT-202608-00307,dLocal,BR,pix,1145.87,BRL,captured,2026-07-28,2026-07-28
CT-202608-00308,Stripe,US,debit_card,290.41,USD,captured,2026-08-06,2026-08-06
CT-202608-00309,dLocal,BR,credit_card,1039.97,BRL,captured,2026-07-30,2026-07-31
CT-202608-00310,dLocal,CO,credit_card,1485937,COP,captured,2026-07-30,2026-07-30
CT-202608-00311,dLocal,CO,pse,929558,COP,captured,2026-08-06,2026-08-06
CT-202608-00312,PayU Latam,CO,cash,1823183,COP,captured,2026-08-02,2026-08-03
CT-202608-00313,dLocal,CO,pse,1837388,COP,refunded,2026-07-16,2026-07-17
CT-202608-00314,PayU Latam,CO,pse,626556,COP,captured,2026-07-20,2026-07-20
CT-202608-00315,Adyen,US,debit_card,291.20,USD,failed,2026-07-28,
CT-202608-00316,dLocal,BR,credit_card,52.66,BRL,captured,2026-08-06,2026-08-06
CT-202608-00317,dLocal,BR,credit_card,1342.86,BRL,captured,2026-07-31,2026-07-31
CT-202608-00318,dLocal,CO,pse,1447674,COP,failed,2026-08-08,
CT-202608-00319,Stripe,US,debit_card,31.66,USD,captured,2026-07-27,2026-07-27
CT-202608-00320,PayU Latam,CO,pse,1312918,COP,captured,2026-08-10,2026-08-11
CT-202608-00321,Adyen,US,debit_card,205.37,USD,refunded,2026-08-07,2026-08-07
CT-202608-00322,Adyen,US,debit_card,180.47,USD,failed,2026-08-12,
CT-202608-00323,Stripe,MX,credit_card,4941.49,MXN,failed,2026-07-27,
CT-202608-00324,dLocal,BR,pix,675.47,BRL,captured,2026-08-03,2026-08-03
CT-202608-00325,Adyen,MX,credit_card,6223.12,MXN,captured,2026-07-19,2026-07-20
CT-202608-00326,dLocal,CO,pse,1678366,COP,captured,2026-08-08,2026-08-08
CT-202608-00327,Stripe,MX,oxxo,7529.33,MXN,authorized,2026-08-04,
CT-202608-00328,dLocal,BR,pix,2283.88,BRL,refunded,2026-07-25,2026-07-25
CT-202608-00329,Stripe,MX,oxxo,4042.80,MXN,authorized,2026-08-06,
CT-202608-00330,Adyen,US,debit_card,125.12,USD,captured,2026-08-05,2026-08-05
CT-202608-00331,PayU Latam,CO,pse,42320,COP,captured,2026-07-23,2026-07-23
CT-202608-00332,Adyen,MX,credit_card,419.06,MXN,authorized,2026-07-28,
CT-202608-00333,Stripe,US,debit_card,351.45,USD,captured,2026-08-11,2026-08-11
CT-202608-00334,Adyen,MX,credit_card,3908.96,MXN,captured,2026-07-25,2026-07-25
CT-202608-00335,Stripe,MX,credit_card,7306.57,MXN,captured,2026-07-23,2026-07-23
CT-202608-00336,dLocal,CO,pse,947398,COP,captured,2026-07-31,2026-07-31
CT-202608-00337,Adyen,BR,debit_card,2328.86,BRL,authorized,2026-08-02,
CT-202608-00338,Stripe,MX,oxxo,6040.74,MXN,captured,2026-08-05,2026-08-05
CT-202608-00339,Stripe,MX,oxxo,2172.56,MXN,captured,2026-07-16,2026-07-16
